Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,HPA evidence,UniProt evidence,NeXtProt evidence,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nCPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nCPM,RNA cancer specificity,RNA cancer distribution,RNA cancer specificity score,RNA cancer specific pTPM,RNA brain regional specificity,RNA brain regional distribution,RNA brain regional specificity score,RNA brain regional specific nTPM,RNA blood cell specificity,RNA blood cell distribution,RNA blood cell specificity score,RNA blood cell specific nTPM,RNA blood lineage specificity,RNA blood lineage distribution,RNA blood lineage specificity score,RNA blood lineage specific nTPM,RNA cell line specificity,RNA cell line distribution,RNA cell line specificity score,RNA cell line specific nTPM,RNA tissue cell type enrichment,RNA mouse brain regional specificity,RNA mouse brain regional distribution,RNA mouse brain regional specificity score,RNA mouse brain regional specific nTPM,RNA pig brain regional specificity,RNA pig brain regional distribution,RNA pig brain regional specificity score,RNA pig brain regional specific nTPM,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Secretome location,Secretome function,CCD Protein,CCD Transcript,Blood concentration - Conc. blood IM [pg/L],Blood concentration - Conc. blood MS [pg/L],Blood expression cluster,Tissue expression cluster,Brain expression cluster,Cell line expression cluster,Single cell expression cluster,Interactions,Subcellular main location,Subcellular additional location,Antibody RRID,Cancer prognostics - Bladder Urothelial Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (validation),Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (validation),Cancer prognostics - Glioblastoma Multiforme (TCGA),Cancer prognostics - Glioblastoma Multiforme (validation),Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA),Cancer prognostics - Kidney Chromophobe (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation),Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (validation),Cancer prognostics - Lung Adenocarcinoma (TCGA),Cancer prognostics - Lung Adenocarcinoma (validation),Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA),Cancer prognostics - Lung Squamous Cell Carcinoma (validation),Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA),Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation),Cancer prognostics - Pancreatic Adenocarcinoma (TCGA),Cancer prognostics - Pancreatic Adenocarcinoma (validation),Cancer prognostics - Prostate Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (validation),Cancer prognostics - Skin Cutaneous Melanoma (TCGA),Cancer prognostics - Stomach Adenocarcinoma (TCGA),Cancer prognostics - Testicular Germ Cell Tumor (TCGA),Cancer prognostics - Thyroid Carcinoma (TCGA),Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)
MYCN,"bHLHe37, MYCNOT, N-myc, NMYC",ENSG00000134323,"MYCN proto-oncogene, bHLH transcription factor",P04198,2,15940550-15947007,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors","Transcription, Transcription regulation","Activator, DNA-binding","Cancer-related genes, Disease variant, Proto-oncogene",Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in some,,brain: 5.8;placenta: 7.7,Cell type enriched,Detected in some,6,Extravillous trophoblasts: 124.0,Cell type enhanced,Detected in many,,midbrain-derived inhibitory: 13.5;oligodendrocyte precursor cell: 14.0,Cancer enriched,Detected in many,6,Testicular Germ Cell Tumor (TCGA): 85.0,Low region specificity,Detected in many,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Cancer enriched,Detected in many,17,Neuroblastoma: 615.1,"Skeletal muscle - Fibroblasts, Skin - Inner root sheath cells, Skin - Outer root sheath cells",Low region specificity,Detected in many,,,Low region specificity,Detected in many,,,HPA057420,,,Approved,"Nucleoplasm,Nucleoli",,,NA,NA,,,,Cluster 43: Placenta - Pregnancy hormone signaling,Cluster 30: White matter - Myelination,Cluster 17: Neuroblastoma - Neuronal signaling,Cluster 21: Extravillous trophoblasts - Placental invasion & endocrine regulatio,49,Nucleoli,Nucleoplasm,HPA057420: ,unprognostic (1.35e-1),unprognostic (1.19e-1),unprognostic (2.51e-1),unprognostic (3.23e-2),unprognostic (2.36e-1),unprognostic (4.18e-2),unprognostic (1.12e-1),potential prognostic favorable (1.47e-5),unprognostic (2.13e-2),unprognostic (2.19e-1),,potential prognostic favorable (1.51e-4),,unprognostic (1.09e-2),potential prognostic favorable (3.54e-4),unprognostic (2.55e-1),unprognostic (5.53e-3),unprognostic (2.56e-2),unprognostic (1.82e-1),unprognostic (3.90e-3),unprognostic (3.38e-1),unprognostic (2.21e-2),unprognostic (3.52e-1),,unprognostic (1.13e-1),unprognostic (1.85e-2),,unprognostic (8.98e-2),unprognostic (3.62e-2),unprognostic (5.16e-2),unprognostic (4.59e-2)
MYD88,,ENSG00000172936,MYD88 innate immune signal transduction adaptor,Q99836,3,38138478-38143024,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Antiviral defense, Immunity, Inflammatory response, Innate immunity",,"Cancer-related genes, Disease variant",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,cDC: 59.1;Esophageal apical cells: 111.1;Kupffer cells: 95.3;monocytes: 111.1;Neutrophil progenitors: 61.8;Neutrophils: 255.1;Ocular epithelial cells: 64.5,Cell type enhanced,Detected in many,,central nervous system macrophage: 10.8;leukocyte: 19.9,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in many,,,"Adipose visceral - Macrophages, Breast - Macrophages, Colon - Macrophages, Thyroid gland - Macrophages",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,CAB009104,Approved,,Supported,"Vesicles,Mitochondria,Cytosol",,,NA,NA,,,Cluster 38: Monocytes & Neutrophils - Degranulation,Cluster 5: Spleen - Immune response,Cluster 43: Hindbrain - Mixed function,Cluster 31: Non-specific - Antiviral immune response,Cluster 40: Monocytes & Neutrophils - Inflammatory signaling,57,Cytosol,"Vesicles, Mitochondria",CAB009104: ,potential prognostic favorable (3.15e-4),unprognostic (4.04e-3),unprognostic (3.09e-2),unprognostic (1.11e-1),unprognostic (1.08e-1),unprognostic (5.60e-2),unprognostic (7.02e-2),potential prognostic unfavorable (7.08e-4),unprognostic (9.02e-3),unprognostic (2.18e-2),potential prognostic favorable (9.27e-4),unprognostic (9.54e-2),unprognostic (2.61e-1),unprognostic (9.76e-2),unprognostic (8.99e-2),unprognostic (2.06e-1),unprognostic (7.23e-3),unprognostic (2.79e-1),unprognostic (4.80e-2),unprognostic (7.44e-2),unprognostic (1.19e-1),unprognostic (7.20e-3),unprognostic (2.40e-1),unprognostic (6.48e-2),unprognostic (3.81e-2),unprognostic (1.28e-1),unprognostic (8.29e-2),unprognostic (2.69e-1),unprognostic (6.02e-2),unprognostic (2.34e-1),unprognostic (1.01e-1)
MYH11,"SMHC, SMMHC, SMMS-1",ENSG00000133392,Myosin heavy chain 11,P35749,16,15703135-15857028,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",,"Actin-binding, Calmodulin-binding, Motor protein, Muscle protein, Myosin","Aortic aneurysm, Cancer-related genes, Disease variant, Proto-oncogene",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,blood vessel: 2385.4;intestine: 3136.0;urinary bladder: 2375.2,Group enriched,Detected in many,4,Peritubular myoid cells: 550.0;Smooth muscle cells: 1993.2;Vascular smooth muscle cells: 1312.5,Cell type enriched,Detected in many,28,vascular associated smooth muscle cell: 1444.2,Group enriched,Detected in all,4,Prostate Adenocarcinoma (TCGA): 439.6;Stomach Adenocarcinoma (TCGA): 369.4,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Cancer enhanced,Detected in some,,lymphoma: 3.4;Rhabdoid: 1.7,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Adrenal gland - Smooth muscle cells, Breast - Breast myoepithelial cells, Colon - Smooth muscle cells, Heart muscle - Smooth muscle cells, Kidney - Fibroblasts, Lung - Smooth muscle cells, Minor Salivary Gland - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Smooth muscle cells, Skin - Smooth muscle cells, Thyroid gland - Smooth muscle cells",Low region specificity,Detected in all,,,Region enhanced,Detected in all,,midbrain: 52.0,"CAB002302, HPA014539, HPA015310",Enhanced,,Enhanced,"Plasma membrane,Cytosol",,,NA,NA,,37000000,,Cluster 12: Smooth muscle tissue - ECM organization,Cluster 42: Choroid plexus - Mitochondria,Cluster 55: Lymphoma - Immune response,Cluster 62: Smooth muscle cells - Muscle contraction,8,"Plasma membrane, Cytosol",,"CAB002302: , HPA014539: , HPA015310: ",potential prognostic favorable (8.33e-4),unprognostic (1.07e-1),unprognostic (1.38e-1),unprognostic (4.24e-2),unprognostic (1.49e-1),unprognostic (2.04e-2),unprognostic (9.34e-2),unprognostic (2.72e-2),unprognostic (1.40e-2),unprognostic (9.54e-2),unprognostic (3.54e-3),potential prognostic favorable (1.59e-4),potential prognostic unfavorable (5.83e-4),potential prognostic favorable (2.96e-6),unprognostic (8.18e-2),unprognostic (5.12e-2),unprognostic (2.08e-1),unprognostic (4.69e-2),unprognostic (1.33e-1),unprognostic (9.29e-2),unprognostic (6.13e-3),unprognostic (1.92e-1),potential prognostic favorable (4.81e-4),unprognostic (8.72e-2),unprognostic (6.70e-2),unprognostic (2.05e-2),unprognostic (6.42e-2),unprognostic (5.12e-2),unprognostic (1.30e-1),unprognostic (8.54e-2),unprognostic (3.52e-3)
MYH9,"DFNA17, EPSTS, FTNS, MHA, NMHC-II-A, NMMHCA",ENSG00000100345,Myosin heavy chain 9,P35579,22,36281280-36388010,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins","Cell adhesion, Cell shape","Actin-binding, Calmodulin-binding, Host cell receptor for virus entry, Motor protein, Myosin, Receptor","Alport syndrome, Cancer-related genes, Cataract, Deafness, Disease variant, Non-syndromic deafness",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,blood vessel: 530.2,Cell type enhanced,Detected in many,,Neutrophil progenitors: 1041.5;Neutrophils: 1873.8;Pancreatic acinar cells: 1111.2;Platelets: 1643.8,Cell type enhanced,Detected in all,,endothelial cell: 385.5;leukocyte: 332.7;vascular associated smooth muscle cell: 382.9,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Adipose subcutaneous - Endothelial cells, Minor Salivary Gland - Minor salivary glandular cells, Pituitary gland - Endothelial cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA001644, CAB015386, HPA064783",Enhanced,,Supported,"Nuclear bodies,Plasma membrane,Actin filaments,Cytosol",,,No,No,,630000000,Cluster 36: Eosinophils - Protein ubiquitination,Cluster 12: Smooth muscle tissue - ECM organization,Cluster 47: Endothelial cells - Vasculature,Cluster 15: Kidney cancer - Membrane components,Cluster 48: Neutrophils - Phagocytosis & degranulation,156,"Plasma membrane, Actin filaments","Nuclear bodies, Cytosol","CAB015386: , HPA001644: , HPA064783: ",unprognostic (3.63e-2),unprognostic (3.27e-1),unprognostic (3.22e-1),unprognostic (1.26e-3),unprognostic (6.75e-2),unprognostic (3.86e-1),unprognostic (4.15e-1),unprognostic (1.70e-2),unprognostic (2.75e-3),unprognostic (5.55e-2),potential prognostic favorable (7.09e-5),unprognostic (1.48e-3),unprognostic (1.71e-1),unprognostic (5.07e-2),unprognostic (1.71e-1),unprognostic (6.74e-2),potential prognostic unfavorable (2.17e-5),unprognostic (4.63e-1),unprognostic (3.22e-1),unprognostic (4.29e-2),unprognostic (1.15e-1),unprognostic (3.49e-2),unprognostic (8.07e-2),unprognostic (2.36e-1),unprognostic (2.28e-2),unprognostic (8.78e-3),unprognostic (4.05e-1),unprognostic (2.77e-1),unprognostic (1.28e-1),unprognostic (1.22e-2),unprognostic (2.97e-1)
MYO5A,"GS1, MYH12, MYO5, MYR12",ENSG00000197535,Myosin VA,Q9Y4I1,15,52307281-52529132,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Protein transport, Transport","Actin-binding, Calmodulin-binding, Motor protein, Myosin",Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,brain: 31.4;parathyroid gland: 36.7,Cell type enhanced,Detected in many,,Macrophages: 435.2;Melanocytes: 1050.7;Neutrophil progenitors: 389.4;Neutrophils: 432.7;Oligodendrocyte progenitor cells: 482.9;Oligodendrocytes: 579.7,Low cell type specificity,Detected in all,,,Cancer enhanced,Detected in all,,Skin Cutaneous Melanoma (TCGA): 57.5,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in all,,,Cancer enhanced,Detected in all,,skin cancer: 61.5,Adipose subcutaneous - Macrophages,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA001356,Enhanced,,Approved,"Focal adhesion sites,Primary cilium,Centriolar satellite,Basal body,Cytosol,Calyx",,,NA,NA,,,Cluster 35: Neutrophils - Protein binding,Cluster 42: Retina - Visual perception,Cluster 34: Non-specific - Mixed function,Cluster 9: Skin cancer - Melanin biosynthesis,Cluster 72: Macrophages - Phagocytosis & lysosomal degradation,13,"Focal adhesion sites, Centriolar satellite","Primary cilium, Basal body, Cytosol, Calyx",HPA001356: ,unprognostic (2.24e-2),unprognostic (2.64e-1),unprognostic (4.81e-1),unprognostic (1.89e-1),unprognostic (6.90e-2),unprognostic (2.95e-1),unprognostic (4.95e-2),unprognostic (2.40e-3),unprognostic (2.23e-2),unprognostic (1.21e-2),potential prognostic favorable (1.14e-4),unprognostic (5.19e-2),unprognostic (1.85e-1),unprognostic (2.87e-2),unprognostic (1.94e-1),unprognostic (1.79e-1),unprognostic (1.82e-3),unprognostic (1.48e-2),unprognostic (1.56e-1),unprognostic (4.77e-3),unprognostic (1.89e-3),unprognostic (8.83e-2),potential prognostic unfavorable (1.83e-4),unprognostic (3.00e-1),unprognostic (1.35e-1),unprognostic (7.09e-2),unprognostic (9.32e-2),unprognostic (2.25e-2),unprognostic (9.20e-2),unprognostic (7.33e-2),unprognostic (3.38e-2)
MYOD1,"bHLHc1, MYF3, MYOD, PUM",ENSG00000129152,Myogenic differentiation 1,P15172,11,17719571-17722136,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors","Differentiation, Myogenesis, Transcription, Transcription regulation","Activator, Developmental protein, DNA-binding","Cancer-related genes, Disease variant",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enriched,Detected in some,10,skeletal muscle: 34.4,Group enriched,Detected in some,8,Myonuclei: 16.9;Myosatellite cells: 40.3;Thymic myoid cells: 10.9,Not detected,Not detected,,,Cancer enhanced,Detected in single,,Ovary Serous Cystadenocarcinoma (TCGA): 1.0,Not detected,Not detected,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Cancer enriched,Detected in some,65,Sarcoma: 76.1,,Not detected,Not detected,,,Low region specificity,Detected in all,,,"HPA055436, HPA078647",,,Enhanced,Nucleoplasm,,,NA,NA,,,,Cluster 19: Skeletal muscle - Striated muscle contraction,,Cluster 33: Sarcoma - Muscle contraction,Cluster 36: Skeletal myocytes - Muscle excitation & contraction,39,Nucleoplasm,,"HPA055436: , HPA078647: ",,,,,,,,,,,,,,,,,,,,unprognostic (3.82e-1),unprognostic (1.23e-1),,,,,,,,,,
NAB2,MADER,ENSG00000166886,NGFI-A binding protein 2,Q15742,12,57089043-57095476,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins","Transcription, Transcription regulation",Repressor,Cancer-related genes,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Decidual stromal cells: 50.0;Syncytiotrophoblasts: 61.8,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,Adipose visceral - Adipose progenitor cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB004510, HPA027464",Approved,,Approved,"Nucleoplasm,Cytosol",,,NA,NA,,,Cluster 14: Non-specific - Unknown function,Cluster 64: Non-specific - Transcription,Cluster 15: Non-specific - Transcription,Cluster 5: Rhabdoid - Unknown function,Cluster 39: Syncytiotrophoblasts - Placental homeostasis & endocrine signal,83,"Nucleoplasm, Cytosol",,"CAB004510: , HPA027464: ",unprognostic (4.10e-1),unprognostic (9.88e-3),unprognostic (1.11e-1),unprognostic (2.43e-1),unprognostic (7.74e-3),unprognostic (8.28e-2),unprognostic (1.03e-1),unprognostic (1.91e-1),unprognostic (1.34e-1),unprognostic (3.79e-1),unprognostic (1.20e-2),unprognostic (3.60e-2),unprognostic (4.01e-2),potential prognostic unfavorable (7.98e-4),unprognostic (7.93e-2),unprognostic (5.12e-2),unprognostic (4.91e-2),unprognostic (3.91e-1),unprognostic (7.28e-2),unprognostic (1.78e-1),unprognostic (1.90e-1),unprognostic (2.11e-1),unprognostic (1.96e-2),unprognostic (8.38e-2),unprognostic (3.58e-2),unprognostic (2.50e-3),unprognostic (2.48e-1),unprognostic (2.95e-1),unprognostic (8.33e-2),unprognostic (3.32e-2),unprognostic (1.14e-1)
NBN,"AT-V1, AT-V2, ATV, NBS, NBS1",ENSG00000104320,Nibrin,O60934,8,89924515-90003228,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins","Cell cycle, DNA damage, DNA repair, Host-virus interaction, Meiosis",,"Cancer-related genes, Disease variant",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Adipocytes: 372.7;Cardiomyocytes: 1314.0;Neutrophils: 854.9,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Adrenal gland - Adrenal cortex cells, Thyroid gland - Thyroid glandular cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA001429, CAB003836, CAB080233",Supported,,Supported,"Nucleoplasm,Mitotic chromosome,Golgi apparatus",,,Yes,NA,,,Cluster 35: Neutrophils - Protein binding,Cluster 61: Non-specific - Transcription,Cluster 21: Non-specific - Metabolism,Cluster 40: Non-specific - Unknown function,Cluster 31: Neutrophils - Chemotaxis & Apoptosis,79,Nucleoplasm,"Mitotic chromosome, Golgi apparatus","CAB003836: , CAB080233: , HPA001429: ",unprognostic (1.29e-3),unprognostic (1.13e-1),unprognostic (2.55e-1),unprognostic (3.41e-2),unprognostic (3.90e-2),unprognostic (1.44e-2),unprognostic (1.28e-1),unprognostic (3.13e-3),unprognostic (7.32e-2),unprognostic (6.29e-3),potential prognostic favorable (2.17e-4),unprognostic (1.85e-2),unprognostic (9.17e-2),potential prognostic unfavorable (6.03e-4),unprognostic (2.92e-2),potential prognostic unfavorable (1.51e-6),unprognostic (2.04e-2),unprognostic (8.16e-2),unprognostic (1.60e-1),unprognostic (6.57e-3),unprognostic (1.19e-2),potential prognostic unfavorable (6.15e-4),unprognostic (1.49e-2),unprognostic (7.70e-2),unprognostic (2.50e-2),unprognostic (4.73e-2),unprognostic (1.29e-2),unprognostic (1.48e-1),unprognostic (2.45e-1),unprognostic (7.81e-3),unprognostic (1.79e-1)
NCOA1,"bHLHe74, F-SRC-1, KAT13A, NCoA-1, RIP160, SRC1",ENSG00000084676,Nuclear receptor coactivator 1,Q15788,2,24491254-24770702,"Cancer-related genes, Disease related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Transcription factors","Transcription, Transcription regulation","Activator, Acyltransferase, Transferase","Cancer-related genes, Proto-oncogene",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Bergmann glia: 1220.4;Neutrophils: 2074.9,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Adrenal gland - Adrenal cortex cells, Thyroid gland - Fibroblasts",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB019402, HPA070213, HPA070520",Supported,,Approved,"Nucleoplasm,Vesicles,Plasma membrane,Cytosol",,,No,No,,,Cluster 41: Basophils - Unknown function,Cluster 25: Non-specific - Basic cellular processes,Cluster 40: Astrocytes - Astrocyte-neuron interactions,Cluster 59: Leukemia - T-cell receptor,Cluster 24: Neutrophils - Innate immunity signal integration,84,"Nucleoplasm, Cytosol","Vesicles, Plasma membrane","CAB019402: , HPA070213: , HPA070520: ",unprognostic (1.90e-1),unprognostic (2.11e-1),unprognostic (5.11e-2),unprognostic (3.61e-2),unprognostic (1.98e-2),unprognostic (3.14e-2),unprognostic (8.90e-2),unprognostic (9.48e-2),unprognostic (2.00e-2),unprognostic (5.22e-3),potential prognostic favorable (1.39e-6),unprognostic (5.70e-3),unprognostic (2.35e-1),unprognostic (1.73e-2),unprognostic (2.01e-1),unprognostic (1.20e-1),unprognostic (2.79e-1),unprognostic (1.58e-1),unprognostic (1.73e-1),unprognostic (1.69e-1),unprognostic (2.88e-1),unprognostic (3.34e-2),unprognostic (8.23e-2),unprognostic (1.97e-1),unprognostic (9.24e-2),unprognostic (6.04e-2),unprognostic (1.15e-1),unprognostic (2.63e-2),unprognostic (2.90e-1),unprognostic (3.12e-2),unprognostic (1.52e-2)
NCOA2,"bHLHe75, GRIP1, KAT13C, NCoA-2, TIF2",ENSG00000140396,Nuclear receptor coactivator 2,Q15596,8,70109782-70403808,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors","Biological rhythms, Transcription, Transcription regulation",Activator,Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Neutrophil progenitors: 1361.0;Neutrophils: 1920.1;Sertoli cells: 1563.8,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Adrenal gland - Adrenal cortex cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA060243,,,Supported,"Nucleoplasm,Nuclear bodies",,,NA,NA,,,Cluster 35: Neutrophils - Protein binding,Cluster 40: Non-specific - Mixed function,Cluster 40: Astrocytes - Astrocyte-neuron interactions,Cluster 40: Non-specific - Unknown function,Cluster 48: Neutrophils - Phagocytosis & degranulation,40,"Nucleoplasm, Nuclear bodies",,HPA060243: ,unprognostic (7.82e-2),potential prognostic unfavorable (7.41e-4),unprognostic (9.92e-2),unprognostic (6.39e-2),unprognostic (7.80e-2),unprognostic (1.61e-2),unprognostic (7.50e-3),potential prognostic favorable (2.56e-4),unprognostic (5.33e-3),potential prognostic unfavorable (1.84e-4),potential prognostic favorable (8.56e-8),unprognostic (1.74e-2),unprognostic (1.58e-1),unprognostic (9.94e-2),unprognostic (2.42e-1),unprognostic (1.65e-1),unprognostic (1.07e-1),unprognostic (9.30e-2),unprognostic (9.11e-2),unprognostic (1.46e-2),unprognostic (5.07e-3),unprognostic (2.18e-2),unprognostic (1.69e-2),unprognostic (2.29e-2),unprognostic (1.96e-1),unprognostic (2.43e-1),unprognostic (7.89e-2),unprognostic (2.57e-1),unprognostic (2.62e-1),unprognostic (8.07e-2),unprognostic (5.49e-2)
